Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,225.000000,234.539993,223.750000,234.339996,225.883575,5084000
2018-01-08,233.490005,240.399994,230.729996,239.820007,231.165848,7695900
2018-01-15,241.199997,250.679993,240.580002,250.059998,241.036346,5955100
2018-01-22,250.149994,258.529999,248.000000,258.190002,248.872971,6036600
2018-01-29,256.690002,267.950012,238.619995,239.179993,230.548950,13948800
2018-02-05,238.110001,240.679993,224.610001,231.710007,223.348526,11634800
2018-02-12,232.679993,237.100006,229.330002,235.020004,226.539078,7308400
2018-02-19,233.279999,235.559998,231.619995,235.240005,226.751099,4042000
2018-02-26,235.429993,240.770004,229.300003,233.080002,224.669083,6397700
2018-03-05,231.830002,233.389999,227.360001,232.800003,224.399200,7165200
2018-03-12,232.199997,232.729996,227.270004,228.110001,220.591949,8629200
2018-03-19,228.179993,230.910004,215.520004,215.630005,208.523254,6784800
2018-03-26,217.580002,223.720001,217.580002,219.699997,212.459137,6076600
2018-04-02,221.360001,231.309998,217.490005,224.779999,217.371689,8169800
2018-04-09,225.649994,227.759995,219.339996,222.020004,214.702698,7902100
2018-04-16,223.839996,231.910004,222.339996,226.070007,218.619202,6781800
2018-04-23,226.759995,245.800003,223.179993,239.149994,231.268112,13872700
2018-04-30,239.710007,241.330002,224.130005,233.179993,225.494858,7251800
2018-05-07,233.149994,233.639999,219.960007,232.050003,224.402069,7528100
2018-05-14,232.960007,234.690002,229.910004,231.869995,224.228043,5439400
2018-05-21,232.619995,235.070007,229.050003,232.389999,224.730896,3945300
2018-05-28,230.059998,232.449997,220.800003,221.500000,214.199814,5943400
2018-06-04,222.559998,230.500000,221.429993,228.300003,220.775726,6056500
2018-06-11,228.110001,245.660004,226.229996,245.160004,237.862961,9593300
2018-06-18,244.720001,246.820007,241.339996,244.820007,237.533081,6122000
2018-06-25,243.889999,245.449997,233.479996,238.029999,230.945160,6212200
2018-07-02,237.970001,242.800003,235.380005,242.149994,234.942551,2773400
2018-07-09,240.380005,252.410004,239.990005,250.509995,243.053726,6259900
